Rank,data » name,Ticker,Coingecko ID,Key Person,USP,Economic Purpose,,Issuer Industry,,Technological Setup,,Legal Claim,,Issuer Type,,Regulatory Status EU,,Mode of Origination,,Type of Maximum Supply,,Consensus Mechanism,,Tax,,Multi Chain (Y/N)
16,Waves,WAVES,waves,Aavneet,Designed to enable users to create and launch custom crypto tokens.,EEP22TU02,Settlement and Access Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
17,TrueUSD,TUSD,true-usd,Jan,The first regulated stablecoin fully backed by the US Dollar.,EEP21PP01USD,USD-Pegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC32,Relative Rights Token,LIT61PV,Private Sector Legal Entity,REU51EM12,Non-Authorized Significant E-Money Token,EMO92,Sale,EMS82DC,Discretionary,Depends on the ledger,Depends on the ledger,RTA71,Conventional Asset Tokens,Y
18,Chiliz,CHZ,chiliz,Albert,Allowing sports and e-sports enthusiasts to closely manage & engage with their favorite teams,EEP22TU02,Settlement and Access Token,EIN08ES,"Entertainment, Sports and Gaming",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
19,Celsius,CEL,celsius-degree-token,Jan,All-in-one banking and financial services platform for crypto users (lending-borrowing on crypto collateral),EEP22TU03,Settlement and Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
20,yearn.finance,YFI,yearn-finance,Magda,Yearn Finance is a suite of products in Decentralized Finance (DeFi) that is designed to generate yield on smart contract platforms like Ethereum.,EEP22NT02,Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT62AL,Application Layer Protocol,REU51UT,Utility Token,EMO93,Airdrop,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
21,Axie Infinity,AXS,axie-infinity,Marlene,Pokémon-inspired NFT trading and battling game.,EEP22TU03,Settlement and Governance Token,EIN08ES,"Entertainment, Sports and Gaming",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
22,Paxos Standard,PAX,paxos-standard,Aavneet,A fiat-collateralized stablecoin backed by USD in accounts held by the company at the U.S. depository institutions.,EEP21PP01USD,USD-Pegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51EM12,Non-Authorized Significant E-Money Token,EMO92,Sale,EMS82DC,Discretionary,Depends on the ledger,Depends on the ledger,RTA72,New Asset Token,Y
23,Synthetix,SNX,havven,Jan,"Synthetix is the backbone for derivatives trading in DeFi, allowing anyone, anywhere to gain on-chain exposure to a vast range of assets.",EEP22TU03,Settlement and Governance Token,EIN06DF03,"Decentralized Derivatives, Syntethic Assets and Insuarance",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
24,Decentraland,MANA,decentraland,Albert,"Create, explore and trade in the first-ever virtual world owned by its users.",EEP22TU03,Settlement and Governance Token,EIN08ES,"Entertainment, Sports and Gaming",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Deflationary,TCM72DS,Proof of Work,RTA72,New Asset Token,Y
25,Quant,QNT,quant-network,Magda,"QNT is an Ethereum token that is used to power Quant Network's Overledger brand of enterprise software solutions, which aim to connect public blockchains and private networks.",EEP22TU02,Settlement and Access Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92/EMO 91,Sale/Reward,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,Y
26,Enjin Coin,ENJ,enjincoin,Aavneet,"An Ethereum token that aims to “make it easy for individuals, businesses, and brands to use non-fungible tokens (NFTs).",EEP22TU02,Settlement and Access Token,EIN08ES,"Entertainment, Sports and Gaming",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
27,SushiSwap,SUSHI,sushi,Nick,"Based on the code of UniSwap, it gives liquidity providers the option to get less fees but ""sushis"" instead, that would create consitent liqudity",EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO93,Airdrop,EMS82IF,Inflationary,TCM72DS,Proof of Work,RTA72,New Asset Token,N
28,Nexo,NEXO,nexo,Magda,Nexo is the most advanced platform for instant crypto loans. It gives digital asset holders  instant access to cash and retaining ownership of their assets.,EEP22NT02,Governance Token,EIN06DF02,"Banking, Custody and Financing Services",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed ,TCM72DS,Proof of Work,RTA72,New Asset Token,Y
29,Basic Attention Token,BAT,basic-attention-token,Marlene,blockchain-based digital advertising platform,EEP22TU01,Settlement  Token, EIN07PR,"Advertising, Marketing and Public Relations",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,Depends on the ledger,Depends on the ledger,RTA72,New Asset Token,Y
30,KuCoin Token,KCS,kucoin-shares,Jan,KuCoin is an international cryptocurrency exchange based out of Seychelle that currently supports the trading of 250 digital assets.,EEP22TU02,Settlement and Access Token,EIN06BS,"Exchange, Trading and Settlement",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
31,Bancor,BNT,bancor,Aavneet,BNT is an ERC-20 token that serves as the payment mechanism through which liquidity pools connect in the Bancor network.,EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,Depends on the ledger,Depends on the ledger,RTA72,New Asset Token,Y
32,OKB,OKB,okb,Jan,OKB is the cryptocurrency issued by OKEx which is a centralized crypto exchange. OKEx's USP is the focus on offering a multitude of trading pairs as well as options trading. ,EEP22TU03,Settlement and Governance Token,EIN06EX,"Exchange, Trading and Settlement",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Deflationary,Depends on the ledger,Depends on the ledger,RTA72,New Asset Token,Y
33,Telcoin,TEL,telcoin,Magda,"Instant, low-cost money transfers powered by the Blockchain.",EEP22TU01,Settlement Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
34,HUSD,HUSD,husd,Marlene,US-Dollar stablecoin at the exchange Huobi ,EEP21PP01USD,USD-Pegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC32,Relative Rights Token,LIT61PV,Private Sector Legal Entity,REU51EM12,Non-Authorized Significant E-Money Token,EMO92,Sale,EMS82DC,Discretionary,TCM72DS,Proof of Work,RTA71,Conventional Asset Tokens,N
35,SwissBorg,CHSB,swissborg,Magda,DEX that allows for investments in digital assets ,EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Ptivate Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
36,Curve DAO Token,CRV,curve-dao-token,Marlene,DEX and liquidity protocol for stablecoins,EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT62AL,Application Layer Protocol,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,Depends on the ledger,Depends on the ledger,RTA72,New Asset Token,Y
37,Revain,REV,revain,Aavneet,A review platform that aims to curate and reward user feedback on products and services by leveraging blockchain technology.,EEP22TU01,Settlement Token,EIN05MS,Media and Social Media,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
38,0x,ZRX,0x,Albert,Open-source protocol for the decentralized exchange on ethereum blockchain,EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT62AL,Application Layer Protocol,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72PS,Proof of Work,RTA72,New Asset Token,N
39,UMA,UMA,uma,Magda,Allows for decentralized financial products to be built,EEP22TU03,Settlement and Governance Token,EIN06DF03,"Decentralized Derivatives, Synthetic Assets and Insurance",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72PS,Proof of Work,RTA72,New Asset Token,N
40,OMG Network,OMG,omisego,Marlene,Ethereum Layer 2 Optimistic Rollup scaling solution,EEP22TU01,Settlement Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed ,TMC71PS,Proof of Stake,RTA72,New Asset Token,N
41,Neutrino USD,USDN,neutrino,Magda,Neutrino is an algorithmic price-stable assetization protocol that enables the creation of stablecoins pegged to specific real-world assets,EEP21PP01USD,USD-Pegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51EM12,Non-Authorized Significant E-Money Token,EMO92,Sale,EMS82DC,Discretionary,TCM72DS,Proof of Work,RTA71,Conventional Asset Tokens,N
42,Voyager Token,VGX,ethos,Aavneet,The Voyager Token (VGX) is a cryptocurrency broker token.,EEP22TU02,Settlement and Access Token,EIN06EX,"Exchange, Trading and Settlement",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
43,renBTC,RENBTC,renbtc,Jan,"RenBTC is an ERC-20 token built on the Ethereum pegged to Bitcoin. RenBTC is minted on the Ren platform, which is an open protocol that provides inter-blockchain liquidity.",EEP23DV03,Other Derivative Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC32,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51ZZ,Other In-Scope Crypto Asset,EMO94,Wrapping,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,Y
44,Gemini Dollar,GUSD,gemini-dollar,Nick,Reserver packed stable coin based on ethereum ,EEP21PP01USD,USD-Pegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC32,Relative Rights Token,LIT61PV,Private Sector Legal Entity,REU51EM12,Non-Authorized Significant E-Money Token,EMO92,Sale,EMS82DC,Discretionary,TCM72DS,Proof of Work,RTA71,Conventional Asset Tokens,N
45,1inch,1INCH,1inch,Albert,Multichain DEX aggregator to optimize AMM transactions,EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT62AL,Application Layer Protocol,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM71PS,Proof of Stake,RTA72,New Asset Token,Y
46,Golem,GLM,golem,Magda,,EEP22TU01,Settlement Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
47,Ren,REN,republic-protocol,Jan,REN tokens are a bond to run a darknode in the RenVM network. this network allows to wrap bitcoin into renBTC and use it in DeFi applications.,EEP22TU01,Settlement Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,Y
48,The Sandbox,SAND,the-sandbox,Prashant,"Sandbox is a blockchain-based virtual world allowing users to create, build, buy and sell digital assets in the form of a game",EEP22TU03,Settlement and Governance Token,EIN08ES,"Entertainment, Sports and Gaming",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
49,Gnosis,GNO,gnosis,Prashant,,EEP22NT02,Governance Token,EIN05DA01,"Artificial Intelligence (AI), Predictive Analytics, and Big Data",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
50,ASD,BTMX,asd,Aavneet,ASD is to provide a convenient and secure mode of payment and settlement between participants who interact within the ecosystem on AscendEx.,EEP22TU02,Settlement and Access Token,EIN06EX,"Exchange, Trading and Settlement",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PS,Proof of Stake,RTA72,New Asset Token,N
51,Kyber Network Crystal ,KNC,kyber-network-crystal,Albert,,EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72PS,Proof of Work,RTA72,New Asset Token,N
52,Kyber Network Crystal Legacy,KNCL,kyber-network,Max,,EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72PS,Proof of Work,RTA72,New Asset Token,N
53,Livepeer,LPT,livepeer,Marlene,First fully decentralized live video streaming network protocol.,EEP22TU03,Settlement and Governance Token,EIN05MS,Media and Social Media,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,TCM72DS,Delegated Proof of Stake,RTA72,New Asset Token,N
54,Loopring,LRC,loopring,Aavneet,"An Ethereum token that describes itself as “an open-sourced, audited, and non-custodial exchange protocol.” It aims to allow anyone to build non-custodial, order book-based exchanges on Ethereum by leveraging zero-knowledge proofs.",EEP22TU02,Settlement and Access Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Deflationary,TCM72DS,Proof of Work,RTA72,New Asset Token,N
55,Reserve Rights,RSR,reserve-rights-token,Jan,"Stable currency, a human right.",EEP22TU03,Settlement and Governance Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
56,WINkLink,WIN,wink,Magda,,EEP22TU02,Settlement and Access Token,EIN08ES,"Entertainment, Sports and Gaming",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT62DL,Distributed Ledger Protocol,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PS,Proof of Stake,RTA72,New Asset Token,Y
57,Ocean Protocol,OCEAN,ocean-protocol,Prashant,,EEP22TU03,Settlement and Governance Token, EIN05DA05,"Other Software, Data Storage and Processing",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
58,GateToken,GT,gatechain-token,Aavneet,Unique exchange token of Gate.io exchange and the native token to Gatechain public chain.,EEP22TU02,Settlement and Access Token,EIN06EX,"Exchange, Trading and Settlement",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
59,Origin Protocol,OGN,origin-protocol,Albert,,EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72PS,Proof of Work,RTA72,New Asset Token,N
60,Status,SNT,status,Marlene,"Secure messaging app, crypto wallet, and Web3 browser ",EEP22TU03,Settlement and Governance Token,EIN05MS,Media and Social Media,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,TCM72DS,Proof of Work,RTA72,New Asset Token,N
61,WAX,WAXP,wax,Aavneet,,EEP22TU02,Settlement and Access Token,EIN06EX,"Exchange, Trading and Settlement",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
62,iExec RLC,RLC,iexec-rlc,Jan,iExec is the leading provider of blockchain-based decentralized computing. Blockchain is utilized to organize a market network where people can monetize their computing power as well as applications and even datasets.,EEP22TU02,Settlement and Access Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
63,Alpha Finance Lab,ALPHA,alpha-finance,Nick,,EEP22NT01,Access Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
